Branch,Endpoint,File,ServiceName
//gosdev/games/PGATour/2016/Gen4/prod/blazeserver/14.2.x,gos-blaze.nucleus.ea.com,//gosdev/games/PGATour/2016/Gen4/prod/blazeserver/14.2.x/etc/commondefines.cfg,|[u'pga-2016-xone', u'pga-2016-xone-trial', u'pga-2016-ps4']|
//gosdev/games/FIFA/2015/Gen3/prod/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev/games/FIFA/2015/Gen3/prod/blazeserver/13.x/etc/commondefines.cfg,|[u'fifa-2015-xbl2', u'fifa-2015-xbl2-ddp', u'fifa-2015-xbl2-ddr', u'fifa-2015-ps3', u'fifa-2015-ps3-ddp', u'fifa-2015-ps3-ddr']|
//gosdev/games/Burnout/Crash/Gen3/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Burnout/Crash/Gen3/prod/blazeserver/3.x/etc.ilt.sports/env/prod.boot,|[u'burnout-crash-xbl2', u'burnout-crash-xbl2-trial', u'burnout-crash-ps3', u'burnout-crash-ps3-trial']|
//gosdev/games/PlantsVsZombies/GW2/Gen4/prod/15.1.x/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/PlantsVsZombies/GW2/Gen4/prod/15.1.x/blazeserver/etc/commondefines.cfg,|[u'plantsvszombies-gw2-xone', u'plantsvszombies-gw2-xone-trial', u'plantsvszombies-gw2-ps4', u'plantsvszombies-gw2-ps4-trial', u'plantsvszombies-gw2-pc', u'plantsvszombies-gw2-pc-trial']|
//gosdev/games/MassEffect/4/retail/prod/15.1.x/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/MassEffect/4/retail/prod/15.1.x/blazeserver/etc/commondefines.cfg,|[u'masseffect-4-xone', u'masseffect-4-xone-trial', u'masseffect-4-ps4', u'masseffect-4-ps4-trial', u'masseffect-4-pc', u'masseffect-4-pc-trial']|
//gosdev-restricted/kettle/games/Battlefield/4/Gen3-1/CTE/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev-restricted/kettle/games/Battlefield/4/Gen3-1/CTE/blazeserver/13.x/etc/commondefines.cfg,|[u'battlefield-4-xone-cte', u'battlefield-4-pc-cte']|
//gosdev/games/TigerWoods/2014/Gen3/retail/prod/blazeserver/3.19.x,gos-blaze.nucleus.ea.com,//gosdev/games/TigerWoods/2014/Gen3/retail/prod/blazeserver/3.19.x/etc/commondefines.cfg,|[u'tigerwoods-2014-xbl2', u'tigerwoods-2014-xbl2-ce', u'tigerwoods-2014-xbl2-ddp', u'tigerwoods-2014-xbl2-ddr', u'tigerwoods-2014-ps3', u'tigerwoods-2014-ps3-ce', u'tigerwoods-2014-ps3-ddp', u'tigerwoods-2014-ps3-ddr']|
//gosdev/games/NFS/2013/commonLocker/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/NFS/2013/commonLocker/prod/blazeserver/3.x/etc/commondefines.cfg,[u'nfs-2013-locker']
//gosdev/games/GatlingGears/1/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/GatlingGears/1/retail/prod/blazeserver/3.x/etc/env/prod.boot,[u'gatlinggears-1-pc']
//gosdev-restricted/kettle/games/Battlefield/4/Gen3-1/prod/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev-restricted/kettle/games/Battlefield/4/Gen3-1/prod/blazeserver/13.x/etc/commondefines.cfg,|[u'battlefield-4-xone', u'battlefield-4-ps3', u'battlefield-4-ps4', u'battlefield-4-xbl2', u'battlefield-4-pc']|
//gosdev-restricted/kettle/games/NHL/2015/Gen3-1/prod/blazeserver/14.x,gos-blaze.nucleus.ea.com,//gosdev-restricted/kettle/games/NHL/2015/Gen3-1/prod/blazeserver/14.x/etc/commondefines.cfg,|[u'nhl-2015-xone', u'nhl-2015-xone-trial', u'nhl-2015-ps4', u'nhl-2015-ps4-trial']|
//gosdev/games/Madden/2017/Gen3/prod/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/Madden/2017/Gen3/prod/blazeserver/etc/commondefines.cfg,|[u'madden-2017-xbl2', u'madden-2017-xbl2-api', u'madden-2017-xbl2-ddr', u'madden-2017-xbl2-web', u'madden-2017-ps3', u'madden-2017-ps3-api', u'madden-2017-ps3-ddr', u'madden-2017-ps3-web']|
//gosdev/games/NHL/2013/NHL/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/NHL/2013/NHL/retail/prod/blazeserver/3.x/etc/commondefines.cfg,|[u'nhl-2013-ps3', u'nhl-2013-ps3-ddp', u'nhl-2013-ps3-ddr', u'nhl-2013-ps3-ios', u'nhl-2013-xbl2', u'nhl-2013-xbl2-ddp', u'nhl-2013-xbl2-ddr', u'nhl-2013-xbl2-ios']|
//gosdev/games/FifaManager/2013/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/FifaManager/2013/retail/prod/blazeserver/3.x/etc/commondefines.cfg,[u'fifamanager-2013-pc']
//gosdev/games/Amalur/Reckoning/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Amalur/Reckoning/retail/prod/blazeserver/3.x/etc/env/prod.boot,|[u'amalur-reckoning-ps3', u'amalur-reckoning-pc', u'amalur-reckoning-xbl2']|
//gosdev/games/FIFA/2015/Gen4/prod/blazeserver/14.x,gos-blaze.nucleus.ea.com,//gosdev/games/FIFA/2015/Gen4/prod/blazeserver/14.x/etc/commondefines.cfg,|[u'fifa-2015-xone', u'fifa-2015-xone-trial', u'fifa-2015-ps4', u'fifa-2015-pc']|
//gosdev/games/Tennis/2012/Tennis/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Tennis/2012/Tennis/retail/prod/blazeserver/3.x/etc.ilt.sports/env/prod.boot,|[u'tennis-2012-ps3', u'tennis-2012-xbl2']|
//gosdev/games/Madden/2014/retail/release/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Madden/2014/retail/release/blazeserver/3.x/etc/commondefines.cfg,|[u'madden-2014-xbl2', u'madden-2014-xbl2-ddp', u'madden-2014-xbl2-ddr', u'madden-2014-ps3', u'madden-2014-ps3-ddp', u'madden-2014-ps3-ddr']|
//gosdev/games/Madden/2013/vita/release/blazeserver/3.09.x,gos-blaze.nucleus.ea.com,//gosdev/games/Madden/2013/vita/release/blazeserver/3.09.x/etc/env/prod.boot,[u'madden-2013-psp2']
//gosdev/games/Warp/1/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Warp/1/retail/prod/blazeserver/3.x/etc.ilt.shooter/env/prod.boot,[u'warp-1-pc']
//gosdev-restricted/kettle/games/UFC/F2P/Gen3-1/prod/blazeserver/13.3.x,gos-blaze.nucleus.ea.com,//gosdev-restricted/kettle/games/UFC/F2P/Gen3-1/prod/blazeserver/13.3.x/etc/commondefines.cfg,|[u'ufc-2015-f2p-android', u'ufc-2015-f2p-ios', u'ufc-2015-f2p-pc']|
//gosdev/games/Sims/EP6/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Sims/EP6/retail/prod/blazeserver/3.x/etc.ilt.shooter/env/prod.boot,[u'sims-ep6-pc']
//gosdev/games/Crysis/3/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Crysis/3/retail/prod/blazeserver/3.x/etc/commondefines.cfg,|[u'crysis-3-ps3', u'crysis-3-pc', u'crysis-3-xbl2']|
