Branch,Endpoint,File,ServiceName
//gosdev/games/FIFA/2015/Gen3/prod/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev/games/FIFA/2015/Gen3/prod/blazeserver/13.x/etc/commondefines.cfg,|[fifa-2015-xbl2, fifa-2015-xbl2-ddp, fifa-2015-xbl2-ddr, fifa-2015-ps3, fifa-2015-ps3-ddp, fifa-2015-ps3-ddr]|
//gosdev/games/Burnout/Crash/Gen3/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Burnout/Crash/Gen3/prod/blazeserver/3.x/etc.ilt.sports/env/prod.boot,|[brnot-crash-xbl2, brnot-crash-xbl2-trial, brnot-crash-ps3, brnot-crash-ps3-trial]|
//gosdev/games/PlantsVsZombies/GW2/Gen4/prod/15.1.x/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/PlantsVsZombies/GW2/Gen4/prod/15.1.x/blazeserver/etc/commondefines.cfg,|[plantsvszombies-gw2-xone, plantsvszombies-gw2-xone-trial, plantsvszombies-gw2-ps4, plantsvszombies-gw2-ps4-trial, plantsvszombies-gw2-pc, plantsvszombies-gw2-pc-trial]|
//gosdev/games/MassEffect/4/retail/prod/15.1.x/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/MassEffect/4/retail/prod/15.1.x/blazeserver/etc/commondefines.cfg,|[masseffect-4-xone, masseffect-4-xone-trial, masseffect-4-ps4, masseffect-4-ps4-trial, masseffect-4-pc, masseffect-4-pc-trial]|
//gosdev-restricted/kettle/games/Battlefield/4/Gen3-1/CTE/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev-restricted/kettle/games/Battlefield/4/Gen3-1/CTE/blazeserver/13.x/etc/commondefines.cfg,|[battlefield-4-xone-cte, battlefield-4-pc-cte]|
//gosdev/games/TigerWoods/2014/Gen3/retail/prod/blazeserver/3.19.x,gos-blaze.nucleus.ea.com,//gosdev/games/TigerWoods/2014/Gen3/retail/prod/blazeserver/3.19.x/etc/commondefines.cfg,|[tigerwoods-2014-xbl2, tigerwoods-2014-xbl2-ce, tigerwoods-2014-xbl2-ddp, tigerwoods-2014-xbl2-ddr, tigerwoods-2014-ps3, tigerwoods-2014-ps3-ce, tigerwoods-2014-ps3-ddp, tigerwoods-2014-ps3-ddr]|
//gosdev/games/NFS/2013/commonLocker/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/NFS/2013/commonLocker/prod/blazeserver/3.x/etc/commondefines.cfg,[nfs-2013-locker]
//gosdev/games/GatlingGears/1/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/GatlingGears/1/retail/prod/blazeserver/3.x/etc/env/prod.boot,[gatlinggears-1-pc]
//gosdev-restricted/kettle/games/Battlefield/4/Gen3-1/prod/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev-restricted/kettle/games/Battlefield/4/Gen3-1/prod/blazeserver/13.x/etc/commondefines.cfg,|[battlefield-4-xone, battlefield-4-ps3, battlefield-4-ps4, battlefield-4-xbl2, battlefield-4-pc]|
//gosdev-restricted/kettle/games/NHL/2015/Gen3-1/prod/blazeserver/14.x,gos-blaze.nucleus.ea.com,//gosdev-restricted/kettle/games/NHL/2015/Gen3-1/prod/blazeserver/14.x/etc/commondefines.cfg,|[nhl-2015-xone, nhl-2015-xone-trial, nhl-2015-ps4, nhl-2015-ps4-trial]|
//gosdev/games/Madden/2017/Gen3/prod/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/Madden/2017/Gen3/prod/blazeserver/etc/commondefines.cfg,|[madden-2017-xbl2, madden-2017-xbl2-api, madden-2017-xbl2-ddr, madden-2017-xbl2-web, madden-2017-ps3, madden-2017-ps3-api, madden-2017-ps3-ddr, madden-2017-ps3-web]|
//gosdev/games/NHL/2013/NHL/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/NHL/2013/NHL/retail/prod/blazeserver/3.x/etc/commondefines.cfg,|[nhl-2013-ps3, nhl-2013-ps3-ddp, nhl-2013-ps3-ddr, nhl-2013-ps3-ios, nhl-2013-xbl2, nhl-2013-xbl2-ddp, nhl-2013-xbl2-ddr, nhl-2013-xbl2-ios]|
//gosdev/games/FifaManager/2013/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/FifaManager/2013/retail/prod/blazeserver/3.x/etc/commondefines.cfg,[fifamanager-2013-pc]
//gosdev/games/Amalur/Reckoning/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Amalur/Reckoning/retail/prod/blazeserver/3.x/etc/env/prod.boot,|[amalr-reckoning-ps3, amalr-reckoning-pc, amalr-reckoning-xbl2]|
//gosdev/games/FIFA/2015/Gen4/prod/blazeserver/14.x,gos-blaze.nucleus.ea.com,//gosdev/games/FIFA/2015/Gen4/prod/blazeserver/14.x/etc/commondefines.cfg,|[fifa-2015-xone, fifa-2015-xone-trial, fifa-2015-ps4, fifa-2015-pc]|
//gosdev/games/Tennis/2012/Tennis/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Tennis/2012/Tennis/retail/prod/blazeserver/3.x/etc.ilt.sports/env/prod.boot,|[tennis-2012-ps3, tennis-2012-xbl2]|
//gosdev/games/Madden/2014/retail/release/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Madden/2014/retail/release/blazeserver/3.x/etc/commondefines.cfg,|[madden-2014-xbl2, madden-2014-xbl2-ddp, madden-2014-xbl2-ddr, madden-2014-ps3, madden-2014-ps3-ddp, madden-2014-ps3-ddr]|
//gosdev/games/Madden/2013/vita/release/blazeserver/3.09.x,gos-blaze.nucleus.ea.com,//gosdev/games/Madden/2013/vita/release/blazeserver/3.09.x/etc/env/prod.boot,[madden-2013-psp2]
//gosdev/games/Warp/1/retail/prod/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/Warp/1/retail/prod/blazeserver/3.x/etc.ilt.shooter/env/prod.boot,[warp-1-pc]
