Branch,Endpoint,File
//gosdev/games/NBA/2018/retail/DL_Default/test/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/NBA/2018/retail/DL_Default/test/blazeserver/etc/commondefines.cfg
//gosdev/games/NBA/2018/retail/DL_Default/test_demo/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/NBA/2018/retail/DL_Default/test_demo/blazeserver/etc/commondefines.cfg
//gosdev/games/NFS/2016/events/15.1.x/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/NFS/2016/events/15.1.x/blazeserver/etc/commondefines.cfg
//gosdev/games/NFS/2016/events2/15.1.x/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/NFS/2016/events2/15.1.x/blazeserver/etc/commondefines.cfg
//gosdev/games/NFS/2016/events-alpha/15.1.x/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/NFS/2016/events-alpha/15.1.x/blazeserver/etc/commondefines.cfg
//gosdev/games/NFS/2016/test/15.1.x/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/NFS/2016/test/15.1.x/blazeserver/etc/commondefines.cfg
//gosdev/games/NHL/2015/Gen3/retail/test/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/NHL/2015/Gen3/retail/test/blazeserver/3.x/etc/commondefines.cfg
//gosdev/games/NHL/2016/Gen3/retail/test/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/NHL/2016/Gen3/retail/test/blazeserver/3.x/etc/commondefines.cfg
//gosdev/games/NHL/2016/Gen4/retail/dev/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/NHL/2016/Gen4/retail/dev/blazeserver/etc/commondefines.cfg
//gosdev/games/NHL/2017/FB/retail/dev/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/NHL/2017/FB/retail/dev/blazeserver/etc/commondefines.cfg
//gosdev/games/ODT/RL-stress-00/blazeserver/15.x,gos-blaze.nucleus.ea.com,//gosdev/games/ODT/RL-stress-00/blazeserver/15.x/etc/commondefines.cfg
//gosdev/games/PGATour/2016/Gen4/test/blazeserver/14.2.x,gos-blaze.nucleus.ea.com,//gosdev/games/PGATour/2016/Gen4/test/blazeserver/14.2.x/etc/commondefines.cfg
//gosdev/games/Ping/V8_Gen3/stress/RL_01/blazeserver/15.x,gos-blaze.nucleus.ea.com,//gosdev/games/Ping/V8_Gen3/stress/RL_01/blazeserver/15.x/etc/commondefines.cfg
//gosdev/games/PlantsVsZombies/GW2/Gen4/livetest/15.1.x/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/PlantsVsZombies/GW2/Gen4/livetest/15.1.x/blazeserver/etc/commondefines.cfg
//gosdev/games/SysTest/banyan/whiteshark/2016/stress/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/SysTest/banyan/whiteshark/2016/stress/blazeserver/etc/commondefines.cfg
//gosdev/games/UFC/2017/Gen4/dev/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/UFC/2017/Gen4/dev/blazeserver/etc/commondefines.cfg
//gosdev/games/UFC/2017/Gen4/staging/blazeserver,gos-blaze.nucleus.ea.com,//gosdev/games/UFC/2017/Gen4/staging/blazeserver/etc/commondefines.cfg
//gosdev/gosservers/redirector/releases/3.x,gos-blaze.nucleus.ea.com,//gosdev/gosservers/redirector/releases/3.x/etc/commondefines.cfg
//gosdev/games/FIFA/2014/Gen3-Demo/test/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev/games/FIFA/2014/Gen3-Demo/test/blazeserver/13.x/etc/commondefines.cfg
//gosdev/games/FIFA/2014/Gen3/test/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev/games/FIFA/2014/Gen3/test/blazeserver/13.x/etc/commondefines.cfg
//gosdev/games/FIFA/2014/Vita/test/blazeserver/3.x,gos-blaze.nucleus.ea.com,//gosdev/games/FIFA/2014/Vita/test/blazeserver/3.x/etc.ilt.sports/env/prod.boot
//gosdev/games/FIFA/2014/WorldCup/prod/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev/games/FIFA/2014/WorldCup/prod/blazeserver/13.x/etc/commondefines.cfg
//gosdev/games/FIFA/2014/WorldCup/test/blazeserver/13.x,gos-blaze.nucleus.ea.com,//gosdev/games/FIFA/2014/WorldCup/test/blazeserver/13.x/etc/commondefines.cfg
